Timestamp,Date,Time,Location,pm25,pm10,no2,o3,co,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Leeds,11,20,16,34,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Manchester,18,21,31,10,,,
2018-12-28T06:00:00.000Z,28-12-18,00:00.0,Birmingham,15,,13,33,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,43,1,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.5,43.8,92.8,10.3,999.5,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,New Territories,18.3,26.9,37.9,52.1,801.6,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,Kowloon,23.1,31.5,101.1,22.7,874.7,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,Central,29.1,41,79.6,24.7,900.1,,
2018-12-28T04:30:00.000Z,28-12-18,30:00.0,Delhi,202,234.74,65.64,27.41,440,,
2018-12-28T04:30:00.000Z,28-12-18,30:00.0,Mumbai,62,152.88,,,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,6.8,14,0.008,0.029,0.25,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,5.4,7,0.025,0.025,0,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.035,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,1,0,0.004,0.02,0.24,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,9,15,0.021,0.015,0.3,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Plymouth,24,26,26,2,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Swansea,18,22,20,,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Glasgow,12,17,0,28,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,14,2,44,,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Leeds,11,21,11,24,,,
2018-12-27T16:00:00.000Z,27-12-18,00:00.0,Manchester,20,23,47,6,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Birmingham,16,,12,24,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,80,6,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.5,43.8,92.8,10.3,999.5,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,New Territories,18.3,26.9,37.9,52.1,801.6,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,Kowloon,23.1,31.5,101.1,22.7,874.7,,
2018-12-28T05:00:00.000Z,28-12-18,00:00.0,Central,29.1,41,79.6,24.7,900.1,,
2018-12-28T04:30:00.000Z,28-12-18,30:00.0,Delhi,202,234.74,65.64,27.41,440,,
2018-12-28T04:30:00.000Z,28-12-18,30:00.0,Mumbai,62,152.88,,,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,6.8,14,0.008,0.029,0.25,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,5.4,7,0.025,0.025,0,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.035,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,1,0,0.004,0.02,0.24,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,9,15,0.021,0.015,0.3,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Plymouth,24,26,26,2,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Swansea,18,22,20,,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Glasgow,12,17,0,28,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,14,2,44,,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Leeds,11,21,11,24,,,
2018-12-27T16:00:00.000Z,27-12-18,00:00.0,Manchester,20,23,47,6,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Birmingham,16,,12,24,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,80,6,,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.5,43.8,92.8,10.3,999.5,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,New Territories,18.3,26.9,37.9,52.1,801.6,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Kowloon,26.4,47.9,36.9,44.2,814.6,,
2018-12-28T04:00:00.000Z,28-12-18,00:00.0,Central,26.9,38.8,74.4,17.5,878.7,,
2018-12-28T03:30:00.000Z,28-12-18,30:00.0,Delhi,206,234.74,65.64,27.41,440,,
2018-12-28T03:30:00.000Z,28-12-18,30:00.0,Mumbai,58,152.88,,,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,9.5,15,0.007,0.037,0.2,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,5,9,0.013,0.027,0,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,MONTEZUMA,,,,0.035,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,2,-1,0.004,0.019,0.25,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,11.9,16,0.024,0.016,0.3,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Plymouth,23,26,26,2,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Swansea,18,22,21,,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Glasgow,13,18,0,22,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,14,3,42,,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Leeds,12,22,20,17,,,
2018-12-27T16:00:00.000Z,27-12-18,00:00.0,Manchester,20,23,42,6,,,
2018-12-28T03:00:00.000Z,28-12-18,00:00.0,Birmingham,17,,11,18,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,80,6,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.7,45.1,60,7.6,999.5,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,New Territories,21,29.7,46.9,19.6,854.6,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Kowloon,23.6,30.6,41.5,15.7,930,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Central,24.3,38.8,61.7,7.6,961.4,,
2018-12-28T01:45:00.000Z,28-12-18,45:00.0,Delhi,162.56,234.74,65.64,27.41,440,,
2018-12-28T01:30:00.000Z,28-12-18,30:00.0,Mumbai,54,152.88,,,,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,13.8,22,0.008,0.029,0.3,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,7.4,23,0.005,0.025,0.4,,
2018-12-27T23:00:00.000Z,27-12-18,00:00.0,MONTEZUMA,,,,0.04,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,2,-2,0.005,0.02,0.25,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,9,21,0.024,0.005,0.3,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Plymouth,21,24,42,3,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Swansea,19,22,24,,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Glasgow,13,18,2,18,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Edinburgh,8,15,3,38,,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Leeds,12,21,20,15,,,
2018-12-27T16:00:00.000Z,27-12-18,00:00.0,Manchester,20,24,47,5,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Birmingham,17,,11,16,,,
2018-12-27T17:00:00.000Z,27-12-18,00:00.0,London,27,30,80,6,,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Causeway Bay,27.7,45.1,60,7.6,999.5,,
2018-12-27T21:00:00.000Z,27-12-18,00:00.0,New Territories,17.7,29.7,46.9,19.6,854.6,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Kowloon,23.6,30.6,41.5,15.7,930,,
2018-12-28T02:00:00.000Z,28-12-18,00:00.0,Central,24.3,38.8,61.7,7.6,961.4,,
2018-12-28T01:45:00.000Z,28-12-18,45:00.0,Delhi,162.56,234.74,65.64,27.41,440,,
2018-12-28T01:30:00.000Z,28-12-18,30:00.0,Mumbai,54,152.88,,,,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Cleveland-Elyria-Mentor,13.8,22,0.008,0.029,0.3,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Detroit-Warren-Livonia,7.4,23,0.005,0.025,0.4,,
2018-12-27T23:00:00.000Z,27-12-18,00:00.0,MONTEZUMA,,,,0.04,,,
2018-12-27T14:00:00.000Z,27-12-18,00:00.0,Minneapolis-St. Paul-Bloomington,2,-2,0.005,0.02,0.25,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,New York-Northern New Jersey-Long Island,9,21,0.024,0.005,0.3,,
2018-12-28T00:00:00.000Z,28-12-18,00:00.0,Plymouth,21,24,42,3,,,
2018-12-28T01:00:00.000Z,28-12-18,00:00.0,Swansea,19,23,29,,,,
