Datetime,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea
2018-12-27 11:00:00,19,16,22,,,,47.7,,34.2,38.9,,152.88,14,11,,5,18,15,19
2018-12-27 12:00:00,19,16,22,,,,56.6,41.7,43.8,38.6,239.67,152.88,14,,,5,17,15,20
2018-12-27 13:00:00,19,16,23,,,,,,43,42,244.22,152.88,19,,,4,13,15,20
2018-12-27 14:00:00,,,,,,,52.3,,,,489.86,152.88,,,,3,12,,
2018-12-27 15:00:00,19,16,,,,,41.5,,37.1,38.4,,152.88,56,,,,15,15,21
2018-12-27 16:00:00,20,16,23,30,,,45.9,,31.1,41.1,492.93,152.88,54,9,,,17,16,21
2018-12-27 17:00:00,20,16,23,,,30,44.1,,43.7,34.6,,152.88,49,11,,,,16,21
2018-12-27 18:00:00,,16,,,,,39.8,25.6,33.2,32.8,376.96,152.88,40,13,,,17,,
2018-12-27 19:00:00,,16,,,,,,,,,,,,,,,17,19,22
2018-12-27 20:00:00,,16,,,,,33.9,,29.3,31.7,,152.88,71,7,,,16,20,22
2018-12-27 21:00:00,,16,,,,,26.8,28.3,36.8,28.2,,152.88,,16,,,18,21,22
2018-12-27 22:00:00,19,16,,,,,,,,,275.62,,,,,,,22,22
2018-12-27 23:00:00,,16,,,,,35.1,,24.7,33.8,,,30,,,,,23,22
2018-12-28 00:00:00,,15,22,,,,34.8,,,35.6,303.43,,,,,,21,24,23
2018-12-28 01:00:00,20,15,,,,,,,,,334.5,152.88,22,23,,,,,23
2018-12-28 02:00:00,18,15,,,,,45.1,29.7,30.6,38.8,234.74,152.88,,,,,16,,22
2018-12-28 03:00:00,,14,,,,,,,,,,,15,,,,,26,22
2018-12-28 04:00:00,,,,,,,43.8,,47.9,38.8,234.74,152.88,,,,,15,26,22
2018-12-28 05:00:00,,,,,,,,26.9,31.5,41,234.74,152.88,,,,,14,,
2018-12-28 06:00:00,16,13,20,21,,,51.4,32.4,35.5,38.9,,,16,8,,,15,27,21
2018-12-28 07:00:00,16,13,20,,,,52.1,42.6,38.3,43.6,234.74,152.88,,,,,,27,21
2018-12-28 08:00:00,16,13,20,,,,52.1,42.6,38.3,43.6,234.74,152.88,,,,,,27,21
2018-12-28 09:00:00,16,13,20,,,,52.1,42.6,38.3,43.6,234.74,152.88,,,,,,27,21
2018-12-28 10:00:00,16,13,20,,,,52.1,42.6,38.3,43.6,234.74,152.88,,,,,,27,21
2018-12-28 11:00:00,16,13,20,,,,52.1,42.6,38.3,43.6,234.74,152.88,,,,,,27,21
2018-12-28 12:00:00,16,13,18,19,,,,,,,234.74,152.88,,,,,,28,21
2018-12-28 13:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 14:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 15:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 16:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
2018-12-28 17:00:00,14,10,15,15,,,,,,,,152.88,23,8,,4,17,30,20
