Timestamp,Date,Time,Location,pm25,pm10,no2,o3,co,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Glasgow,9,16,57,26,,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Edinburgh,9,17,24,33,,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Leeds,17,28,38,35,,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Manchester,22,30,64,6,,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Birmingham,18,,46,37,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,24,34,63,44,,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Causeway Bay,89.9,141.7,106.4,1.8,852.8,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,New Territories,77.6,162.1,68.6,3,877.6,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Kowloon,90.1,137.5,104,0.8,945.2,,
2019-01-05T16:00:00.000Z,2019-01-05,16:00:00.000,Central,90.3,149.2,95.6,2.2,920.7,,
2019-01-05T13:30:00.000Z,2019-01-05,13:30:00.000,Delhi,168,404.48,31.32,24.15,3910,,
2019-01-05T15:30:00.000Z,2019-01-05,15:30:00.000,Mumbai,115,257.12,55.24,72.31,2930,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Cleveland-Elyria-Mentor,31.3,16,0.01,0.011,0.3,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Detroit-Warren-Livonia,13.6,15,0.022,0.007,0,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,MONTEZUMA,,,,0.045,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Minneapolis-St. Paul-Bloomington,-1,12,0.007,0.026,0.21,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,New York-Northern New Jersey-Long Island,8.6,5,0.022,0.009,0.3,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Plymouth,21,26,47,22,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Swansea,32,34,29,,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Glasgow,9,16,32,28,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Edinburgh,9,17,38,33,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Leeds,18,29,50,35,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Manchester,22,30,71,9,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Birmingham,19,,31,41,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,24,31,44,44,,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Causeway Bay,105.9,157.1,125,2.5,852.8,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,New Territories,87.9,109.8,93.4,2.7,877.6,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Kowloon,94.3,129.1,124.1,0.8,945.2,,
2019-01-05T15:00:00.000Z,2019-01-05,15:00:00.000,Central,91.4,147.8,109.3,1.8,920.7,,
2019-01-05T13:30:00.000Z,2019-01-05,13:30:00.000,Delhi,130,404.48,31.32,24.15,3910,,
2019-01-05T14:30:00.000Z,2019-01-05,14:30:00.000,Mumbai,122,257.12,55.24,72.31,2930,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Cleveland-Elyria-Mentor,28,13,0.009,0.012,0.2,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Detroit-Warren-Livonia,14.6,14,0.023,0.003,0,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,MONTEZUMA,,,,0.045,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Minneapolis-St. Paul-Bloomington,3,4,0.008,0.024,0.21,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,New York-Northern New Jersey-Long Island,8.9,8,0.01,0.011,0.2,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Plymouth,21,26,46,19,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Swansea,33,35,63,,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Glasgow,9,16,37,30,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Edinburgh,9,17,41,34,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Leeds,18,30,37,38,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Manchester,23,31,69,14,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Birmingham,19,,33,43,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,24,30,29,35,,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Causeway Bay,106.3,161.3,144.7,2.9,852.8,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,New Territories,91.2,172,123.8,1.6,877.6,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Kowloon,81.1,143.6,140.6,1.3,945.2,,
2019-01-05T14:00:00.000Z,2019-01-05,14:00:00.000,Central,96.9,157,127.5,2.2,920.7,,
2019-01-05T13:30:00.000Z,2019-01-05,13:30:00.000,Delhi,116,404.48,31.32,24.15,3910,,
2019-01-05T13:30:00.000Z,2019-01-05,13:30:00.000,Mumbai,128,257.12,55.24,72.31,2930,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Cleveland-Elyria-Mentor,29.6,14,0.01,0.011,0.3,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Detroit-Warren-Livonia,10.9,15,0.026,0.001,0,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,MONTEZUMA,,,,0.045,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Minneapolis-St. Paul-Bloomington,4,5,0.009,0.022,0.21,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,New York-Northern New Jersey-Long Island,10.9,11,0.013,0.006,0.2,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Plymouth,20,26,37,16,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Swansea,32,36,63,,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Glasgow,9,15,51,34,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Edinburgh,9,17,39,36,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Leeds,19,30,36,41,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Manchester,23,32,68,20,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Birmingham,20,,37,44,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,London,24,33,63,41,,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Causeway Bay,127.5,181.7,124.3,3.6,852.8,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,New Territories,55.9,109.1,104.5,3.2,877.6,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,Kowloon,102.2,150.2,128.6,1.6,945.2,,
2019-01-05T13:00:00.000Z,2019-01-05,13:00:00.000,Central,99.4,157.1,136.3,3,920.7,,
2019-01-04T11:30:00.000Z,2019-01-04,11:30:00.000,Delhi,99,404.48,31.32,24.15,3910,,
2019-01-05T11:30:00.000Z,2019-01-05,11:30:00.000,Mumbai,97,257.12,55.24,72.31,2930,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Cleveland-Elyria-Mentor,22.4,14,0.01,0.013,0.3,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Detroit-Warren-Livonia,14.7,14,0.034,0,0,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,MONTEZUMA,,,,0.045,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Minneapolis-St. Paul-Bloomington,4,4,0.008,0.022,0.2,,
2019-01-05T11:00:00.000Z,2019-01-05,11:00:00.000,New York-Northern New Jersey-Long Island,15.8,11,0.018,0,0.2,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Plymouth,21,26,26,12,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Swansea,32,36,59,,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Glasgow,9,15,59,40,,,
2019-01-05T12:00:00.000Z,2019-01-05,12:00:00.000,Edinburgh,9,17,42,38,,,
