Datetime,Causeway Bay,New Territories,Kowloon,Central,Delhi,Mumbai,Cleveland-Elyria-Mentor,Detroit-Warren-Livonia,MONTEZUMA,Minneapolis-St. Paul-Bloomington,New York-Northern New Jersey-Long Island,Plymouth,Swansea,Glasgow,Edinburgh,Leeds,Manchester,Birmingham,London
2018-12-27 09:00:00,41.4,25.1,17.1,27.3,,,,,,16,20.8,,16,11,9,,,15,
2018-12-27 19:00:00,,,,,,,,,,,7.2,16,18,,9,,,18,
2018-12-27 20:30:00,,,,,,122,,,,,,,,,,,,,
2018-12-28 03:30:00,,,,,206,58,,,,,,,,,,,,,
2018-12-27 17:00:00,20.5,,16.1,16.2,,,15.4,3.1,,,,14,17,12,9,13,,17,27
2018-12-28 02:00:00,27.7,21,23.6,24.3,,,,,,,11.9,,19,13,8,,,17,
2018-12-27 13:15:00,,,,,222.48,,,,,,,,,,,,,,
2018-12-27 08:30:00,,,,,,49,,,,,,,,,,,,,
2018-12-27 07:15:00,,,,,100.86,,,,,,,,,,,,,,
2018-12-27 10:00:00,34.9,,18,,,,26.8,13.9,,9,15,14,16,,9,,,16,
2018-12-27 20:00:00,20.1,,15.9,19.8,,,11.6,5.8,,,8.3,18,18,,9,,,18,
2018-12-26 19:00:00,41.9,29.3,29.1,53.3,,,18.6,,,,,13,16,,8,,,13,
2018-12-28 12:30:00,,,,,,55,,,,,,,,,,,,,
2018-12-27 14:30:00,,,,,,44,,,,,,,,,,,,,
2018-12-28 13:00:00,,,,,,,13.6,0.3,,5,14.9,27,17,9,7,7,12,12,
2018-12-27 04:00:00,32.5,,18,29.3,,,,,,,12.4,12,14,11,9,13,,14,
2018-12-27 00:00:00,37.4,16.2,24.1,33.8,222.13,,,,,,12.9,12,14,10,9,15,,13,
2018-12-26 15:30:00,,,,,148.1,49,,,,,,,,,,,,,
2018-12-27 02:30:00,,,,,,114,,,,,,,,,,,,,
2018-12-27 19:30:00,,,,,,122,,,,,,,,,,,,,
