Timestamp,Date,Time,Text,User,Tag,Location ,Specific,General location
Thu Dec 27 17:10:28 ,Thu Dec 27,17:10:28,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Getta9940,,,n/a,-
Thu Dec 27 17:10:04 ,Thu Dec 27,17:10:04,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Silvara75,,"Arkansas, USA","US,Kansas,Arkansas",US
Thu Dec 27 17:10:01 ,Thu Dec 27,17:10:01,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,MissEdesseg,,"Random, USA",US,US
Thu Dec 27 17:09:53 ,Thu Dec 27,17:09:53,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,lyeng11,,,n/a,-
Thu Dec 27 17:09:39 ,Thu Dec 27,17:09:39,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,swagistral,,United States,"United States,States",US
Thu Dec 27 17:09:37 ,Thu Dec 27,17:09:37,"RT @bruneski: Major investigation by the @nytimes on Trump’s all-out attack on our air, water, climate and health. It’s as bad as you feare…",AndyDaglas,,Chicago,other,-
Thu Dec 27 17:09:19 ,Thu Dec 27,17:09:19,"RT @bruneski: Major investigation by the @nytimes on Trump’s all-out attack on our air, water, climate and health. It’s as bad as you feare…",SierraChicago,,"Chicago, IL",other,-
Thu Dec 27 17:09:13 ,Thu Dec 27,17:09:13,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,babykaats,,,n/a,-
Thu Dec 27 17:08:55 ,Thu Dec 27,17:08:55,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,mecneeley,,,n/a,-
Thu Dec 27 17:08:45 ,Thu Dec 27,17:08:45,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,norakay,,"Santa Monica, CA",other,-
Thu Dec 27 17:08:18 ,Thu Dec 27,17:08:18,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,HollyRocksta,,,n/a,-
Thu Dec 27 17:08:17 ,Thu Dec 27,17:08:17,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,morgandawn6,,,n/a,-
Thu Dec 27 17:08:15 ,Thu Dec 27,17:08:15,"RT @LouiseOFresco: A true must-read: so much did improve last year, from child &amp; maternal mortality, HIV, malaria, to reduced air &amp;plastic…",WvanVierssen,,"Nieuwegein, Nederland",other,-
Thu Dec 27 17:08:11 ,Thu Dec 27,17:08:11,"@HPCL #HPCL
#SpreadTheCheer #ContestAlert  #contest
I have participated in tree plantation so as to make an effort… https://t.co/oSWPC3pOUy",Bang_ImBaCk,"HPCL,SpreadTheCheer,ContestAlert,contest","Bengaluru, India",India,IN
Thu Dec 27 17:08:05 ,Thu Dec 27,17:08:05,RT @JimsTwitAct: More budget for the rail than anything else...  Odd... https://t.co/oA59DEUMbG,uniquebarry,,United States,"United States,States",US
Thu Dec 27 17:07:54 ,Thu Dec 27,17:07:54,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,djbee28,,East coaster,other,-
Thu Dec 27 17:07:44 ,Thu Dec 27,17:07:44,RT @EcoSenseNow: Yep all around. https://t.co/wy3f5f39cI,rbcherba,,,n/a,-
Thu Dec 27 17:07:03 ,Thu Dec 27,17:07:03,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,MarylandTerp05,,"Baltimore, Maryland, USA","US,Maryland",US
Thu Dec 27 17:06:57 ,Thu Dec 27,17:06:57,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,atstillwater,,"Stillwater, MN",other,-
Thu Dec 27 17:06:35 ,Thu Dec 27,17:06:35,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Laurent_LREM58,,"Nièvre, Bourgogne",other,-
Thu Dec 27 17:06:28 ,Thu Dec 27,17:06:28,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,pammcpat53,,Roll Tide & OH-IO,other,-
Thu Dec 27 17:06:21 ,Thu Dec 27,17:06:21,"@ProudResister In fact, livestock (animals raised specifically to feed humans) are a significant source of air and… https://t.co/fY2OvlA38R",Jerry417Jerry,,"Upper Darby, PA",other,-
Thu Dec 27 17:06:10 ,Thu Dec 27,17:06:10,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,beatthebrain,,The Upside Down,other,-
Thu Dec 27 17:06:07 ,Thu Dec 27,17:06:07,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,geek4beauty,,Alamitos Beach,other,-
Thu Dec 27 17:06:05 ,Thu Dec 27,17:06:05,All Londoners - including the fit and healthy - warned over breathing toxic air as Sadiq Khan issues highest possib… https://t.co/DChBPRkn7G,SoesSagoenie,,The Netherlands,other,-
Thu Dec 27 17:05:48 ,Thu Dec 27,17:05:48,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,ljdreves,,"Chilliwack, British Columbia",other,-
Thu Dec 27 17:05:47 ,Thu Dec 27,17:05:47,"RT @Valeo_Group: With our partner @ARIATechnologie, we implemented a real-time air pollution level mapping service on the streets of Paris.…",benjaminkotlo,,,n/a,-
Thu Dec 27 17:05:45 ,Thu Dec 27,17:05:45,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,lordwhorfin,,"Flagstaff, AZ",other,-
Thu Dec 27 17:05:43 ,Thu Dec 27,17:05:43,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,khimbal,,,n/a,-
Thu Dec 27 17:05:42 ,Thu Dec 27,17:05:42,RT @EricLiptonNYT: JUST POSTED: It has been 2 years since Trump era started. Hundreds of stories re EPA/Interior. BUT WHERE CAN WE SEE REAL…,Lantzcl,,,n/a,-
